statement_value,parent_statement_value,parent_relationship_value
Науки,'',''
Естественные науки,Науки,Изучают природные системы их процессы и явления
Природные науки,Естественные науки,Изучают форму и движение материи
Биология,Природные науки,Изучает структуру организмов
Физика,Природные науки,Изучает законы природы
Химия,Природные науки,Изучает свойства элементов и их соединений
Математика,Природные науки,Изучает структуру и отношения объектов
Космические науки,Естественные науки,Изучают развитие космоса
Астрономия,Космические науки,Изучает небесные тела
Космология,Космические науки,Изучает физическое происхождение Вселенной
Космогония,Космические науки,Изучает происхождение космических тел и систем
Астрофизика,Космические науки,Изучает физические процессы в космических масштабах
Космохимия,Космические науки,Изучает химический состав космических тел
Геонауки,Естественные науки,Изучают строение Земли
Геология,Геонауки,Изучает строение Земли
Геофизика,Геонауки,Изучает строение Земли физическими методами
Геохимия,Геонауки,Изучает химический состав Земли и планет
Науки о человеке,Естественные науки,Изучают человека как биологический вид
Анатомия,Науки о человеке,Изучает строение тела человека
Физиология,Науки о человеке,Изучает сущность живого
Генетика,Науки о человеке,Изучает наследственность и изменчивость организма
Гигиена,Науки о человеке,Изучает влияние на организм условий жизни и труда
Медицина,Науки о человеке,Изучает организм человека
Технические науки,Науки,Изучают формы и направления развития техники
Теплотехника,Технические науки,Изучает работу с теплом
Радиотехника,Технические науки,Изучает работу с радиоволнами
Электротехника,Технические науки,Изучает работу с электрической энергии
Информатика,Технические науки,Изучает работу с информацией
Общественные науки,Науки,Изучают общество в целом
Экономика,Общественные науки,Изучает методы управления хозяйством
Социология,Общественные науки,Изучает условия и процессы в обществе
Политология,Общественные науки,Изучает властные отношения
Юриспруденция,Общественные науки,Изучает свойства государства и права
Гуманитарные науки,Науки,Изучают духовный мир человека и общества
Педагогика,Гуманитарные науки,Изучает воспитание и обучение человека
Психология,Гуманитарные науки,Изучает закономерности психики
Эвристика,Гуманитарные науки,Изучает специфику творческой деятельности
Конфликтология,Гуманитарные науки,Изучает конфликты
